fecha_ingreso,anio,mes,estado,proveedor_top,nombre_comercial,tipo_servicio,problema_clasificado,motivo_reclamacion,estado_procesal,resuelta,monto_reclamado,monto_recuperado,porcentaje_recuperado,dias_resolucion
2024-12-12,2024,12,Yucatán,AT&T,AT&T,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,48.0
2024-12-13,2024,12,Aguascalientes,IZZI,IZZI,TV,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,1250.0,0.0,136.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,DESISTIMIENTO,False,0.0,0.0,0.0,45.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",PRODUCTO O SERVICIO EQUIVOCADO,DESISTIMIENTO,False,0.0,0.0,0.0,104.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,CONCILIADA,True,0.0,0.0,0.0,31.0
2024-12-13,2024,12,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,DESISTIMIENTO,False,0.0,0.0,0.0,46.0
2024-12-13,2024,12,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,1499.0,0.0,11.0
2024-12-13,2024,12,Ciudad de México,IZZI,IZZI,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,0.0,0.0,32.0
2024-12-13,2024,12,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,1053.0,0.0,13.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,NO CONCILIADA,True,0.0,0.0,0.0,13.0
2024-12-13,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,21.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,0.0,800.0,0.0,24.0
2024-12-13,2024,12,Ciudad de México,OTROS,SKY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,NO CONCILIADA,True,0.0,0.0,0.0,39.0
2024-12-13,2024,12,Ciudad de México,OTROS,BAIT,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A CAMBIO O DEVOLUCION,CONCILIADA,True,0.0,200.0,0.0,7.0
2024-12-13,2024,12,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,60.0
2024-12-13,2024,12,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,DESISTIMIENTO,False,0.0,0.0,0.0,60.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,DESISTIMIENTO,False,0.0,0.0,0.0,104.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,CONCILIADA,True,0.0,540.7,0.0,24.0
2024-12-13,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,DESISTIMIENTO,False,0.0,0.0,0.0,60.0
2024-12-13,2024,12,Morelos,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,73.0
2024-12-13,2024,12,Ciudad de México,TELMEX,TELMEX,Telefonía Fija,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,649.0,649.0,1.0,45.0
2024-12-13,2024,12,Ciudad de México,AT&T,AT&T,Telefonía Móvil,Facturación y Pagos,CUOTA EXTRAORDINARIA,NO CONCILIADA,True,0.0,0.0,0.0,101.0
2024-12-13,2024,12,Querétaro,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,424.43,424.43,1.0,42.0
2024-12-13,2024,12,Quintana Roo,TELMEX,TELMEX,Telefonía Fija,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,55.0
2024-12-13,2024,12,Coahuila,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,122.0
2024-12-16,2024,12,Ciudad de México,IZZI,IZZI,TV,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,NO CONCILIADA,True,0.0,0.0,0.0,44.0
2024-12-16,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",PRODUCTO O SERVICIO EQUIVOCADO,CONCILIADA,True,0.0,660.0,0.0,18.0
2024-12-16,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,CONCILIADA,True,0.0,100.0,0.0,10.0
2024-12-16,2024,12,Ciudad de México,AT&T,AT&T,Telefonía Móvil,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,DESISTIMIENTO,False,0.0,0.0,0.0,43.0
2024-12-16,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,0.0,341.0,0.0,32.0
2024-12-16,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,DESISTIMIENTO,False,0.0,0.0,0.0,25.0
2024-12-16,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,Contratos y Condiciones,PRACTICAS COERCITIVAS O DESLEALES DE VENTA,CONCILIADA,True,0.0,0.0,0.0,15.0
2024-12-16,2024,12,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Contratos y Condiciones,PRACTICAS COERCITIVAS O DESLEALES DE VENTA,CONCILIADA,True,0.0,0.0,0.0,15.0
2024-12-16,2024,12,Ciudad de México,TOTALPLAY,TOTALPLAY,TV,Publicidad y Promociones,"PLAZOS, CANTIDADES, CONDICIONES",CONCILIADA,True,0.0,0.0,0.0,29.0
2024-12-16,2024,12,Ciudad de México,IZZI,IZZI,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,474.0,0.0,15.0
2024-12-16,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,632.0,0.0,4.0
2024-12-16,2024,12,Ciudad de México,AT&T,AT&T,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,21.0
2024-12-16,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,CONCILIADA,True,0.0,0.0,0.0,22.0
2024-12-16,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,DESISTIMIENTO,False,0.0,0.0,0.0,21.0
2024-12-16,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,Facturación y Pagos,MODIFICACION DEL PRECIO CONVENIDO O PRESUPUESTADO,CONCILIADA,True,0.0,50.0,0.0,7.0
2024-12-16,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,0.0,0.0,8.0
2024-12-16,2024,12,Nuevo León,TELCEL,TELCEL,Telefonía Móvil,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,807.97,807.97,1.0,57.0
2024-12-16,2024,12,Querétaro,OTROS,SKY,TV,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,92.0
2024-12-16,2024,12,Quintana Roo,TELMEX,TELMEX,Telefonía Fija,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,CONCILIADA,True,0.0,0.0,0.0,53.0
2024-12-17,2024,12,Ciudad de México,TELMEX,TELMEX,Telefonía Fija,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,0.0,0.0,49.0
2024-12-17,2024,12,Ciudad de México,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A CAMBIO O DEVOLUCION,DESISTIMIENTO,False,0.0,0.0,0.0,35.0
2024-12-17,2024,12,Ciudad de México,MEGACABLE,MEGACABLE,TV,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,63.0
2024-12-17,2024,12,Ciudad de México,MOVISTAR,MOVISTAR,Telefonía Móvil,Facturación y Pagos,ERROR DE CALCULO,CONCILIADA,True,634.4,0.0,0.0,27.0
2024-12-17,2024,12,Ciudad de México,OTROS,SKY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,DESISTIMIENTO,False,0.0,0.0,0.0,38.0
